Drawing
Date	Winning Numbers
12/23/2011	03-05-08-18-29 14
12/20/2011	20-24-27-45-51 31
12/16/2011	02-04-26-36-39 27
12/13/2011	05-06-22-26-41 6
12/09/2011	04-12-29-49-51 44
12/06/2011	07-21-29-35-49 39
12/02/2011	24-30-48-51-56 45
11/29/2011	17-29-43-48-52 36
11/25/2011	22-28-42-49-54 43
11/22/2011	04-16-23-33-48 38
11/18/2011	04-13-33-39-55 3
11/15/2011	03-06-24-30-33 21
11/11/2011	02-16-22-29-50 27
11/08/2011	05-31-45-47-54 4
11/04/2011	26-30-32-33-44 1
11/01/2011	27-31-39-40-46 36
10/28/2011	13-31-49-52-56 41
10/25/2011	13-33-40-44-46 8
10/21/2011	06-21-35-37-38 17
10/18/2011	24-25-45-47-53 42
10/14/2011	13-35-42-45-54 26
10/11/2011	25-34-38-44-56 27
10/07/2011	05-15-19-23-38 19
10/04/2011	03-26-40-45-52 11
09/30/2011	03-19-21-44-45 29
09/27/2011	02-20-28-36-45 37
09/23/2011	21-27-32-40-52 36
09/20/2011	06-29-38-50-51 39
09/16/2011	06-23-41-45-56 24
09/13/2011	22-31-43-48-56 45
09/09/2011	07-12-19-23-31 45
09/06/2011	01-36-38-42-49 19
09/02/2011	25-44-48-49-55 20
08/30/2011	02-22-25-28-50 18
08/26/2011	02-03-27-30-47 36
08/23/2011	11-21-44-48-49 23
08/19/2011	05-15-53-54-56 22
08/16/2011	04-38-41-42-43 44
08/12/2011	09-43-51-54-55 13
08/09/2011	11-19-39-45-54 15
08/05/2011	06-24-28-33-42 19
08/02/2011	14-17-19-20-32 28
07/29/2011	08-10-22-47-48 35
07/26/2011	20-25-35-52-55 10
07/22/2011	23-31-32-39-56 38
07/19/2011	02-09-10-16-35 40
07/15/2011	16-29-30-46-56 6
07/12/2011	03-09-11-44-49 9
07/08/2011	01-02-22-37-50 45
07/05/2011	01-10-13-18-46 19
07/01/2011	12-17-30-35-47 26
06/28/2011	12-17-27-47-48 33
06/24/2011	10-14-40-49-51 4
06/21/2011	11-24-25-31-46 17
06/17/2011	12-29-46-47-51 24
06/14/2011	09-10-20-51-53 24
06/10/2011	18-21-27-37-38 7
06/07/2011	29-32-35-47-52 13
06/03/2011	20-23-41-49-53 31
05/31/2011	28-30-31-37-55 13
05/27/2011	05-07-14-28-56 10
05/24/2011	09-12-21-42-43 42
05/20/2011	10-17-19-45-48 30
05/17/2011	01-02-17-25-48 45
05/13/2011	03-33-39-47-53 9
05/10/2011	11-16-34-40-51 34
05/06/2011	06-18-26-37-41 9
05/03/2011	01-16-29-36-50 16
04/29/2011	09-10-11-33-51 29
04/26/2011	19-29-32-38-55 15
04/22/2011	03-18-46-51-53 17
04/19/2011	20-24-32-45-51 43
04/15/2011	22-23-33-39-48 29
04/12/2011	10-23-39-41-45 15
04/08/2011	06-40-45-50-56 11
04/05/2011	01-19-20-31-36 9
04/01/2011	13-14-35-36-53 19
03/29/2011	06-15-23-34-38 43
03/25/2011	22-24-31-52-54 4
03/22/2011	01-14-35-50-53 43
03/18/2011	14-33-34-54-56 37
03/15/2011	10-11-12-28-43 45
03/11/2011	14-19-21-42-45 6
03/08/2011	03-17-19-41-55 24
03/04/2011	08-10-15-23-41 7
03/01/2011	01-12-19-20-47 25
02/25/2011	04-05-17-19-50 7
02/22/2011	15-22-23-48-55 31
02/18/2011	05-06-07-30-45 42
02/15/2011	17-18-24-35-39 18
02/11/2011	08-09-17-32-34 13
02/08/2011	25-35-36-47-48 18
02/04/2011	06-20-29-48-55 6
02/01/2011	16-22-23-26-35 31
01/28/2011	14-33-48-49-50 18
01/25/2011	05-08-31-46-50 4
01/21/2011	05-09-21-35-38 20
01/18/2011	04-27-29-38-45 5
01/14/2011	02-15-17-33-35 8
01/11/2011	01-04-11-16-45 37
01/07/2011	04-22-42-46-53 20
01/04/2011	04-08-15-25-47 42
12/31/2010	10-12-13-35-56 9
12/28/2010	06-18-36-40-49 7
12/24/2010	15-16-27-40-52 16
12/21/2010	08-11-12-31-32 29
12/17/2010	11-20-26-46-53 12
12/14/2010	18-22-25-31-38 29
12/10/2010	23-27-33-44-46 36
12/07/2010	04-38-45-53-54 9
12/03/2010	06-11-12-18-56 12
11/30/2010	11-16-19-47-53 2
11/26/2010	05-09-34-43-47 8
11/23/2010	02-06-12-34-35 33
11/19/2010	07-14-31-51-54 35
11/16/2010	01-26-27-39-46 21
11/12/2010	09-26-28-35-38 10
11/09/2010	08-26-28-33-53 11
11/05/2010	19-25-34-46-53 15
11/02/2010	01-03-12-16-54 46
10/29/2010	04-19-26-28-39 14
10/26/2010	15-21-30-31-32 26
10/22/2010	02-07-18-32-53 18
10/19/2010	02-09-14-37-42 41
10/15/2010	09-10-13-31-50 10
10/12/2010	10-31-36-37-43 15
10/08/2010	24-29-37-48-50 19
10/05/2010	10-19-24-37-44 27
10/01/2010	03-08-21-28-52 43
09/28/2010	02-10-13-36-38 18
09/24/2010	02-28-38-42-55 25
09/21/2010	03-20-43-47-52 26
09/17/2010	03-04-14-18-27 13
09/14/2010	06-14-50-55-56 1
09/10/2010	11-12-17-21-23 20
09/07/2010	08-18-22-24-38 23
09/03/2010	10-13-20-28-36 9
